area,HDI ranks,Country,hdrF2013,hdrM2013,lifeF2013,lifeM2013,meanSchoolF2002-2012,meanSchoolM2000-2012,expSchoolF2000-2012,expSchoolM2000-2012,gniF2013,gniM2013,hdrGap,lifeGap,meanSchoolGap,expSchoolGap,gniGap
central,112,Gabon,..,..,64.5,62.4,8.4,6.4,..,..,"14,003","19,919",..,2.05000000000000,-2,..,"5,916"
southern,109,Botswana,0.669,0.694,66.8,62.1,8.7,9.0,11.7,11.6,"11,491","18,054",0.0253100611478888,4.68400000000000,0.329876543,-0.1,"6,563"
southern,118,South Africa,..,..,58.8,54.7,9.8,10.1,..,..,"8,539","15,233",..,4.09300000000000,0.242813958,..,"6,695"
northern,129,Morocco,0.545,0.658,72.7,69.1,3.2,5.6,10.6,11.6,"3,215","10,692",0.1133142746719020,3.59800000000000,2.447350548,1.0,"7,477"
central,144,Equatorial Guinea,..,..,54.6,51.7,..,..,6.9,10.0,"17,769","25,977",..,2.94700000000000,..,3.1,"8,208"
northern,90,Tunisia,0.669,0.751,78.3,73.6,5.5,7.5,15.0,14.0,"4,751","16,226",0.0816401229174660,4.64500000000000,1.997237188,-1.0,"11,475"
east,63,Mauritius,0.750,0.784,77.1,70.3,8.0,9.1,15.9,15.2,"10,980","22,726",0.0339185290287830,6.86099999999999,1.085480138,-0.7,"11,746"
northern,110,Egypt,0.617,0.722,73.6,68.8,5.3,7.5,12.7,13.3,"4,225","16,522",0.1049235787419970,4.76200000000000,2.174904574,0.6,"12,297"
northern,93,Algeria,0.629,0.746,72.7,69.4,5.9,7.8,14.2,13.8,"3,695","21,219",0.1169457037821570,3.26700000000001,1.8625035,-0.4,"17,525"
northern,55,Libya,0.749,0.805,77.3,73.5,7.5,7.5,16.4,15.9,"10,649","32,678",0.0555297712369816,3.83900000000000,-0.038746406,-0.5,"22,029"
east,71,Seychelles,..,..,78.1,69.0,9.4,9.4,12.1,11.1,..,..,..,9.07599999999999,0.054136013,-1.0,#VALUE!
east,,South Sudan,..,..,56.3,54.2,..,..,..,..,..,..,..,2.15500000000000,..,..,#VALUE!
east,,Somalia,..,..,56.7,53.4,..,..,..,..,..,..,..,3.23800000000000,..,..,#VALUE!
